"Story","Title","Result","Date","Stability","Duration (s)"
"RestFull API Test","Successful login","SUCCESS","2023-04-17T19:47:40.5439594+07:00[Asia/Jakarta]","0.0","5.12"
"RestFull API Test","Invalid login","SUCCESS","2023-04-17T19:47:45.7018802+07:00[Asia/Jakarta]","0.0","3.71"
"RestFull API Test","Retrieve all products","SUCCESS","2023-04-17T19:47:49.4231649+07:00[Asia/Jakarta]","0.0","1.62"
"RestFull API Test","Retrieve a single product","SUCCESS","2023-04-17T19:47:51.0631495+07:00[Asia/Jakarta]","0.0","0.5"
"RestFull API Test","Retrieve a non-existent product","SUCCESS","2023-04-17T19:47:51.5736992+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","Get product with limit 5","SUCCESS","2023-04-17T19:47:52.063059+07:00[Asia/Jakarta]","0.0","0.85"
"RestFull API Test","Get product with limit 50","SUCCESS","2023-04-17T19:47:52.9211748+07:00[Asia/Jakarta]","0.0","0.76"
"RestFull API Test","Get sorted product list","SUCCESS","2023-04-17T19:47:53.6930532+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","Get all product categories","SUCCESS","2023-04-17T19:47:54.1730344+07:00[Asia/Jakarta]","0.0","0.46"
"RestFull API Test","Get in product categories","SUCCESS","2023-04-17T19:47:54.6419398+07:00[Asia/Jakarta]","0.0","3.77"
"RestFull API Test","Get in invalid product categories","SUCCESS","2023-04-17T19:47:58.4234041+07:00[Asia/Jakarta]","0.0","3.69"
"RestFull API Test","Add a new product to the database","SUCCESS","2023-04-17T19:48:02.1264785+07:00[Asia/Jakarta]","0.0","2.39"
"RestFull API Test","Add a new product to the database with invalid data","SUCCESS","2023-04-17T19:48:04.5206873+07:00[Asia/Jakarta]","0.0","0.57"
"RestFull API Test","Update product with valid data","SUCCESS","2023-04-17T19:48:05.0958166+07:00[Asia/Jakarta]","0.0","0.51"
"RestFull API Test","Update product with invalid data","SUCCESS","2023-04-17T19:48:05.6129337+07:00[Asia/Jakarta]","0.0","0.48"
"RestFull API Test","User deletes a product from the product list","SUCCESS","2023-04-17T19:48:06.1000417+07:00[Asia/Jakarta]","0.0","3.72"
"RestFull API Test","User deletes a product from the invalid product list","SUCCESS","2023-04-17T19:48:09.8228849+07:00[Asia/Jakarta]","0.0","3.77"
"RestFull API Test","Retrieve all carts","SUCCESS","2023-04-17T19:48:13.6022995+07:00[Asia/Jakarta]","0.0","3.7"
"RestFull API Test","Retrieve a single carts","SUCCESS","2023-04-17T19:48:17.3062839+07:00[Asia/Jakarta]","0.0","3.85"
"RestFull API Test","Retrieve a non-existent carts","SUCCESS","2023-04-17T19:48:21.1657312+07:00[Asia/Jakarta]","0.0","4.05"
