"Story","Title","Result","Date","Stability","Duration (s)"
"RestFull API Test","Retrieve a single product","SUCCESS","2023-04-17T19:47:51.0631495+07:00[Asia/Jakarta]","0.0","0.5"
"RestFull API Test","Retrieve a non-existent product","SUCCESS","2023-04-17T19:47:51.5736992+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","Get product with limit 5","SUCCESS","2023-04-17T19:47:52.063059+07:00[Asia/Jakarta]","0.0","0.85"
"RestFull API Test","Get product with limit 50","SUCCESS","2023-04-17T19:47:52.9211748+07:00[Asia/Jakarta]","0.0","0.76"
"RestFull API Test","Get sorted product list","SUCCESS","2023-04-17T19:47:53.6930532+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","Get all product categories","SUCCESS","2023-04-17T19:47:54.1730344+07:00[Asia/Jakarta]","0.0","0.46"
"RestFull API Test","Add a new product to the database with invalid data","SUCCESS","2023-04-17T19:48:04.5206873+07:00[Asia/Jakarta]","0.0","0.57"
"RestFull API Test","Update product with valid data","SUCCESS","2023-04-17T19:48:05.0958166+07:00[Asia/Jakarta]","0.0","0.51"
"RestFull API Test","Update product with invalid data","SUCCESS","2023-04-17T19:48:05.6129337+07:00[Asia/Jakarta]","0.0","0.48"
"RestFull API Test","Retrieve a user carts","SUCCESS","2023-04-17T19:48:40.6322083+07:00[Asia/Jakarta]","0.0","0.45"
"RestFull API Test","Retrieve a user carts invalid","SUCCESS","2023-04-17T19:48:41.0928629+07:00[Asia/Jakarta]","0.0","0.46"
"RestFull API Test","Add a new cart to the database","SUCCESS","2023-04-17T19:48:41.5538807+07:00[Asia/Jakarta]","0.0","0.48"
"RestFull API Test","Add a new cart to the database with invalid data","SUCCESS","2023-04-17T19:48:42.0409264+07:00[Asia/Jakarta]","0.0","0.48"
"RestFull API Test","Update cart with valid data","SUCCESS","2023-04-17T19:48:42.5273503+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","Update cart with invalid data","SUCCESS","2023-04-17T19:48:43.0025331+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","Update users with valid data","SUCCESS","2023-04-17T19:49:13.2268427+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","Update users with invalid data","SUCCESS","2023-04-17T19:49:13.7012138+07:00[Asia/Jakarta]","0.0","0.45"
